Route,Mode,Avg Frequency Mon 7-8,Avg Frequency Mon 12-1,Avg Frequency Mon 12-1,Morning 7-8 (Saturday),Daytime 12-1 (Saturday),Evening (Saturday),Morning 7-8 (Sunday),Daytime 12-1 (Sunday),Evening (Sunday),AM Peak Median Gap (min),PM Peak Median Gap (min),Weekly Total Services,Weekly Distance (km),Weekly Service Hours,Average Speed (km/h)
1,Tram,10.5,10,11,14.5,12,14,20.5,12.5,13.5,10,10,1612,21881,1228,17.82
1 (Geelong),Bus,20.5,20,33,41.5,38.5,31,38.5,35,35.5,20,20,558,13349,646,20.66
1 (Latrobe Valley),Bus,20,20,20,23.5,20,40,,20,,20,20,557,17493,404,43.3
1 (Seymour),Bus,,,,,,,,,,,25,11,92,4,23
Swanston/St Kilda Corridor,Tram,1.5,1.5,2,2,1.5,2,5,1.5,2.5,1,1,9267,24353,2222,10.96
1/6,Tram,5.5,5.5,6,7.5,6,7,17,6,7,5,5,2684,26644,1469,18.14
10 (Ballarat),Bus,58.5,60,59,40,40,,,80,,62,60,198,3098,136,22.78
10 (Geelong),Bus,38,62,52,62,91.5,,,84,,33,30,253,2670,76,35.13
109,Tram,9,10,10,14,10.5,14.5,29,12,20.5,8,8,1548,29876,1694,17.64
11,Tram,9.5,10,10.5,15.5,11,13.5,29.5,12,18,7,7,1428,18893,1233,15.32
11 (Ballarat),Bus,31.5,30,35.5,28.5,20,20,,,,29,31,368,3925,183,21.45
11 (Latrobe Valley),Bus,40,40,,40,40,,,40,,40,40,119,1489,60,24.82
12,Tram,7.5,10,10,14,10.5,16,27.5,12,18.5,7,8,1524,17282,1170,14.77
12 (Ballarat),Bus,29.5,30,41,39.5,39,40,,39,,30,26,353,4117,186,22.13
12 (Geelong),Bus,21.5,58.5,31,,39.5,,,40.5,,21,19,304,2346,88,26.66
12 (Latrobe Valley),Bus,,,,,,,,,,,80,45,327,10,32.7
12/109,Tram,4,5.5,5.5,7,5.5,8,16,6.5,10.5,4,4,3017,20338,1583,12.85
13 (Ballarat),Bus,62,60,80,40,40,,,80,,63.5,60,207,1496,72,20.78
13 (Latrobe Valley),Bus,,,,,,,,,,,118,40,309,13,23.77
14 (Ballarat),Bus,28,30,30,40,40,,,40,,31,33,373,2762,139,19.87
14 (Latrobe Valley),Bus,39.5,40,40,40,40,,,40,,40,40,142,2145,64,33.52
140A,Bus,20,20,27.5,40,40,40,40,40,40,20,20,572,5999,228,26.31
15 (Ballarat),Bus,39,30,31.5,40,40,40,,40,,40,40,362,3087,150,20.58
15 (Latrobe Valley),Bus,40,40,,40,40,,,40,,40,40,134,1751,49,35.73
150,Bus,23.5,40,33.5,40,40,59,40,40.5,60,22,20,452,4488,171,26.25
151,Bus,24,42.5,48.5,31.5,40,61.5,,39.5,60,28,21,385,4229,171,24.73
152,Bus,32,40,35,39,40,40,40.5,40,40,35,32,346,3042,128,23.77
153,Bus,21,20,19.5,40,20,34.5,40,20,34.5,20,20,687,7945,346,22.96
154,Bus,20,20,20,20.5,20,19.5,20.5,20,19.5,20,21,728,11229,569,19.73
16,Tram,11.5,12,14.5,16,12,13.5,27,12,23.5,11,11,1292,25089,1612,15.56
160,Bus,22,40,39.5,40,40,47,,40,47,20,20,430,2991,136,21.99
161,Bus,38,41,36.5,46,40,51,,40,51,40,33,342,6506,295,22.05
166,Bus,33,40.5,43,38.5,40,46.5,,40,46.5,30,35,354,4346,184,23.62
167,Bus,26.5,40,34,39.5,40,49.5,,40,49.5,29.5,32,396,5601,256,21.88
170,Bus,20,20,19,40,20.5,20,40,20.5,19.5,21,20,694,6538,250,26.15
18 (Geelong),Bus,79,60,,78,60,,62,60,,79,24,145,1273,31,41.06
